,Unnamed: 0,name,struct,addr,lat,lon
8839,8839,"Негосударственное образовательное учреждение образоватлеьный центр ""Солнечный ветер""",(Негосударственное образовательное учреждение),"119133, Москва, Юго-Западный округ,  Академика Варги улица, 2-а",55.63191,37.47718
8840,8840,Начальная школа-детский сад компенсирующего вида № 1616,(Государственное образовательное учреждение),"117465, Москва, Юго-Западный округ,  Профсоюзная улица, 156 к.2
117133 Теплый Стан улица, 9А",55.61804,37.4984
8841,8841,Средняя общеобразовательная школа № 885,(Государственное образовательное учреждение),"127550, Москва, Северный округ,  Дмитровское шоссе, 45а",55.8332,37.57013
8842,8842,"Средняя общеобразовательная школа ""Школа здоровья"" № 898 имени генерала И.Д. Стаценко",(Государственное образовательное учреждение),"117465, Москва, Юго-Западный округ,  Профсоюзная улица, 156, к. 6",55.61783,37.49341
8843,8843,Средняя общеобразовательная школа № 163,(Государственное образовательное учреждение),"127238, Москва, Северный округ,  Линейный проезд, 11",55.84227,37.5735
8844,8844,Центр образования № 1484 имени А.М. Горького,(Государственное образовательное учреждение),"127055, Москва, Центральный округ,  Тихвинская улица, 39, стр. 2",55.79176,37.59886
8845,8845,"Средняя общеобразовательная школа с углубленным изучением области знаний ""Искусство"" № 122",(Государственное образовательное учреждение),"103104, Москва, Центральный округ,  Малый Палашевский переулок, 3",55.76533,37.60127
8846,8846,Средняя общеобразовательная школа с углубленным изучением предметов естественнонаучного цикла № 1388,(Государственное образовательное учреждение),"127006, Москва, Центральный округ,  Долгоруковская улица, 26а, стр.2",55.7761,37.60259
8847,8847,Многопрофильный технический лицей № 1501,(Государственное образовательное учреждение),"127055, Москва, Центральный округ,  Тихвинский переулок, 3",55.78769,37.59574
8848,8848,Центр образования № 1447 им. Н.А. Островского,(Государственное образовательное учреждение),"125047, Москва, Центральный округ,  4-й Лесной переулок, 16",55.78039,37.58723
8849,8849,Средняя общеобразовательная школа № 478,(Государственное образовательное учреждение),"109125, Москва, Юго-Восточный округ,  Саратовская улица, д.16а 
109125 Саратовская улица, д. 14/1",55.7139292,37.73985865
8850,8850,Средняя общеобразовательная школа № 458,(Государственное образовательное учреждение),"109263, Москва, Юго-Восточный округ,  7-я Текстильщиков улица, 9, стр.1",55.69617,37.74821
8851,8851,Центр образования № 654,(Государственное образовательное учреждение),"109129, Москва, Юго-Восточный округ,  Юных Ленинцев улица, 35, корп.2, стр.1 
109263 Артюхиной улица, 17
109129 Юных Ленинцев улица, 35, к.2, стр.2",55.69748,37.73989
8852,8852,Средняя общеобразовательная школа № 598,(Государственное образовательное учреждение),"119602, Москва, Западный округ,  Академика Анохина улица, 36",55.65864,37.46769
8853,8853,Средняя общеобразовательная школа № 643,(Государственное образовательное учреждение),"123007, Москва, Северный округ,  Хорошевское шоссе, 21",55.77626,37.53017
8854,8854,Средняя общеобразовательная школа № 1244 с углубленным изучением французского языка,(Государственное образовательное учреждение),"123007, Москва, Северный округ,  Хорошевское шоссе, 3",55.77373,37.5421
8855,8855,Средняя общеобразовательная школа № 1288 с углубленным изучением анг.языка,(Государственное образовательное учреждение),"125284, Москва, Северный округ,  Поликарпова улица, 3а",55.77601,37.55122
8856,8856,Средняя общеобразовательная школа с углубленным изучением английского языка № 1287,(Государственное образовательное учреждение),"125167, Москва, Северный округ,  Аэропорта проезд, 10",55.79651,37.52074
8857,8857,Средняя общеобразовательная школа с этнокультурным русским компонентом образования № 141,(Государственное образовательное учреждение),"123308, Москва, Северный округ,  Зорге улица, 4",55.77882,37.514
8858,8858,Центр образования № 1409,(Государственное образовательное учреждение),"123007, Москва, Северный округ,  Ходынский бульвар, 7",55.7843,37.53076
8859,8859,Центр образования № 1865,(Государственное образовательное учреждение),"125252, Москва, Северный округ,  Куусинена улица, 13 
125252 Зорге улица, 12; 125252 Зорге улица, 12,к.1",55.78341,37.51247
8860,8860,"Средняя общеобразовательная школа № 1605 ""Школа здоровья""",(Государственное образовательное учреждение),"123308, Москва, Северо-Западный округ,  Народного Ополчения улица, 22/4",55.77859,37.48163
